year,code,Finished consultant episodes,Admissions,Male,Emergency,Waiting list,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Day case,FCE Bed Days
2020,B18,443,314,301,112,128,60,20,5,2,48.091,6,286,70,12,171,831
2020,B37,5443,4262,2397,1859,2059,40,15,5,1,56.589,577,1834,1562,1396,2265,9849
2021,A15,1940,806,1375,500,230,13,9,17,9,45.023,30,1395,282,153,218,13492
2021,A16,1178,565,772,367,155,11,8,11,8,44.769,59,781,165,121,149,5491
2021,A17,365,129,256,86,17,33,18,33,14,40.974,26,267,34,24,21,4656
2021,A18,1026,471,625,295,113,21,11,18,10,42.91,30,730,128,100,108,7626
2021,A19,491,153,342,118,20,14,15,26,14,43.808,11,325,81,38,16,4466
2021,B15,238,156,122,138,9,4,5,4,2,35.539,63,122,33,20,18,576
2021,B16,253,117,167,98,15,22,14,7,6,43.421,5,191,29,8,15,812
2021,B18,488,367,308,135,170,46,26,5,2,45.718,9,333,48,20,208,902
2021,B37,7215,5882,3282,2161,3105,29,14,6,1,55.878,735,2580,1973,1820,3581,13327
2022,A15,2090,817,1537,485,260,13.05314,8,21.077313,11,44.853051,64,1458,365,145,253,15138
2022,A16,1268,658,828,416,177,12.507462,8,11.196969,6,44.242222,62,831,207,115,188,5976
2022,A17,502,193,334,102,27,15.047619,13,39.7,16,41.330376,45,318,73,15,52,7250
2022,A18,865,408,484,255,105,33.493506,14,16.546632,9,42.682045,43,599,142,57,109,5685
2022,A19,475,123,267,88,20,7.928571,6,26.344632,16,42.622767,14,349,66,19,19,3820
2022,B15,578,366,294,294,43,8.5,3,4.596205,3,32.526315,150,327,54,39,55,1540
2022,B16,255,113,186,87,17,16.733333,4,8.856,7,45.134529,1,164,49,9,19,890
2022,B18,564,435,356,150,230,43.024242,16,6.748858,2,45.392292,19,381,83,10,240,1306
2022,B37,7260,5986,3296,2267,3240,30.326269,14,5.433224,1,56.909352,658,2499,2002,1930,3551,13438
2023,A15,2634,1048,1769,657,309,11,7,20,11,44.271,48,1900,372,233,303,18273
2023,A16,1470,714,960,439,222,13,7,14,7,43.674,60,987,249,106,217,7647
2023,A17,430,159,222,84,36,13,2,43,19,38.917,46,307,55,10,50,5508
2023,A18,968,487,597,301,125,19,8,14,8,39.493,37,757,112,35,126,6020
2023,A19,632,192,376,153,20,5,2,27,16,41.662,21,438,70,43,23,5580
2023,B15,696,448,375,397,27,8,7,4,2,30.348,155,445,65,21,39,1480
2023,B16,269,116,170,96,11,29,15,8,6,45.292,0,166,26,20,17,941
2023,B18,580,427,355,140,222,29,16,10,2,49.162,5,368,107,32,264,1691
2023,B37,7835,6346,3386,2508,3376,30,13,5,1,57.866,657,2581,2293,2155,3653,13696
